"";"Id_plac";"X";"Y";"BDForet";"stratum";"Brin_taill";"pch.cl15.F";"pch.cl15.R";"perch.nv";"nb_arbre_175";"nb_arbre_175_F";"nb_arbre_175_R";"Brin_taill.norm";"pch.cl15.F.norm";"pch.cl15.R.norm";"perch.nv.norm";"perch.nv.F.norm";"perch.nv.R.norm";"nb_arbre";"comp_F_nb";"comp_R_nb";"comp_nb";"G175";"G175R";"G175F";"Gbt";"GpvR";"GpvF";"GpnvF";"GpnvR";"G75";"comp_F_G";"comp_R_G";"comp_G";"gini_diam_median";"lorenz_diam_median";"gini_diam_175";"lorenz_diam_175";"ratio";"petit_bois";"moyen_bois";"gros_bois";"tres_gros_bois";"gini_diam_rand";"lorenz_diam_rand";"gini_diam";"lorenz_diam";"density";"htot_moy";"htot_dom";"htot_Lorey";"volume_total";"volume_total_175";"volume_tige";"volume_tige_175";"gap_F";"rumple_index";"zmax";"zmean";"zsd";"zq5";"zq10";"zq15";"zq20";"zq25";"zq30";"zq35";"zq40";"zq45";"zq50";"zq55";"zq60";"zq65";"zq70";"zq75";"zq80";"zq85";"zq90";"zq95";"skewness_first";"kurtosis_first";"skewness_last";"kurtosis_last"
"1";"1_IRSTEA";937999,726;6495494,236;"Hêtre";"Feuillus";"58";"2";"0";"4";11;10;1;130;4;0;9;9;0;154;99,3506493506493;0,649350649350649;"Feuillus";5,30444444444444;1,28444444444444;4,02;17,86545;0;0,61605;1,2321;0;25,0180444444444;94,865927881387;5,13407211861306;"Feuillus";0,0408289589760837;1,81878876861762;0,0875;1,63979486422668;0,928571428571429;99,3506493506494;0,649350649350649;0;0;0,163784605983315;1,03847677273893;0,163784605983315;1,03847677273893;2178,65433210239;11,6695169110781;16,9461831532263;11,6967352354098;10,5302175742266;3,19579544074519;10,3999535790042;3,0655314455228;0,12708719851577;2,73287039212346;15,68;10,0011924570161;1,37428422217426;7,46;8,201;8,48;8,762;9,0425;9,29;9,51;9,7;9,88;10,04;10,17;10,316;10,4665;10,62;10,8275;11,038;11,27;11,569;12,0395;-0,125981077059462;3,962731174369;-0,117759384497692;4,10338531727312
"2";"10_74_ONF";947591,491;6529153,398;"Feuillus";"Feuillus";"3";"1";"0";"0";11;11;0;7;2;0;0;0;0;20;100;0;"Feuillus";7,8625;0;7,8625;0,924075;0;0,308025;0;0;9,0946;100;0;"Feuillus";0,212844286883011;0,871217616580311;0,123217550274223;1,04757731880883;0,45;70;30;0;0;0,232441311340771;0,861054941482445;0,212844286883011;0,871217616580311;282,942121052258;12,5278197953516;14,7007019645485;13,849348120905;4,86845200488207;4,40684501746017;4,34170797909983;3,88010099167792;0,456396993453487;3,02680285835305;19,7;10,787556421497;3,05545447254586;5,46;5,96;6,42;6,92;7,4;7,88;8,34;8,75;9,16;9,55;9,95;10,37;10,77;11,28;11,8;12,32;12,94;13,66;15,067;0,2773453292945;2,76098064489988;0,602307453734547;3,04166009390785
"3";"10_IRSTEA";943000,739;6499501,067;"Feuillus";"Feuillus";"0";"4";"0";"16";12;12;0;0;9;0;36;36;0;57;100;0;"Feuillus";13,6355555555556;0;13,6355555555556;0;0;1,2321;4,9284;0;19,7960555555556;100;0;"Feuillus";0,200254413692082;1,41435763631339;0,18981018981019;1,26068376068376;0,789473684210526;84,2105263157895;14,0350877192982;1,75438596491228;0;0,26549968074006;1,30281447672892;0,26549968074006;1,30281447672892;806,385044998936;12,5733703959287;19,583457833849;12,8775859127042;12,3519429897049;10,0439080525954;11,2180769142433;8,91004197713375;0,189089568743089;3,60824827050151;19,93;9,87497797356828;3,10363114512969;5,81;6,29;6,61;6,87;7,28;7,7;8,1105;8,47;8,8535;9,28;9,66;10,118;10,69;11,12;11,5;12,124;12,96;13,837;16,084;0,837794741400157;3,36702141551217;0,846177606641464;3,66053037334045
"4";"100_IRSTEA";964000,705;6516500,698;"Feuillus";"Feuillus";"0";"0";"0";"1";9;7;2;0;0;0;2;2;0;11;81,8181818181818;18,1818181818182;"Feuillus";23,0480555555556;5,125;17,9230555555556;0;0;0;0,2738;0;23,3218555555556;78,0249046316593;21,9750953683407;"Feuillus";0,275085324232082;0,751436173713555;0,182448733413751;1,11915665162549;0,181818181818182;27,2727272727273;45,4545454545455;18,1818181818182;9,09090909090909;0,262019338880144;0,78208282303791;0,275085324232082;0,751436173713555;155,618166578742;22,9141397219294;27,1814559375666;26,1573789681867;23,2065350844822;23,103955753944;20,8423258737721;20,7397465432339;0,0386350407450524;4,0451785603235;40,59;27,6074157853506;7,34199448638805;9,74;12,98;15,5905;18,03;20,0275;21,76;23,07;24,19;25,25;26,3;27,41;28,29;29,23;30,33;31,47;32,556;33,6;34,73;36,29;-0,642385555718007;2,79077200860629;-0,380415668420249;2,23398196065433
"5";"101_IRSTEA";931005,416;6517490,806;"Feuillus";"Feuillus";"0";"1";"0";"0";20;19;1;0;2;0;0;0;0;22;95,4545454545455;4,54545454545455;"Feuillus";30,0425;1,36111111111111;28,6813888888889;0;0;0,308025;0;0;30,350525;95,5153622182446;4,48463778175538;"Feuillus";0,235241413638626;0,995925840604333;0,202128063841915;1,08289711191336;0,0909090909090909;27,2727272727273;63,6363636363636;4,54545454545455;4,54545454545455;0,241603799385001;0,982983144231218;0,235241413638626;0,995925840604333;311,236333157484;20,7761182321448;26,2796597343545;24,329829701546;28,0175399782558;27,9149606477176;25,0737839244679;24,9712045939297;0,101033410253838;4,52157030487277;40,68;28,5727454798331;6,52933766571786;13,29;17,78;20,29;22,07;23,6;24,59;25,56;26,24;26,91;27,59;28,34;28,96;29,62;30,33;31,07;31,83;32,63;33,61;35,31;-1,26330840370214;4,74850063275846;-0,666058222292995;3,39917691255759
"6";"102_IRSTEA";936000,211;6517503,625;"Feuillus";"Feuillus";"0";"0";"2";"0";39;0;39;0;0;4;0;0;0;43;0;100;"Resineux";25,6413888888889;25,6413888888889;0;0;0,61605;0;0;0;26,2574388888889;0;100;"Resineux";0,119638336347197;0,707649156916842;0,0887578947368422;1,06958106508876;0,0930232558139535;37,2093023255814;62,7906976744186;0;0;0,106400297024047;0,915631940841835;0,119638336347197;0,707649156916842;608,325560262356;16,7581213094309;19,9456419292196;19,236746015276;14,9368496553598;14,7630103386159;14,847997385012;14,6741580682681;0,400408580183861;7,16923065071002;19,26;12,4154096385542;2,8139480609707;6,83;8,17;8,9;9,63;10,18;10,82;11,39;11,73;12,19;12,59;12,91;13,26;13,55;13,93;14,26;14,69;15,19;15,86;16,57;-0,392192982773211;2,7485612084006;-0,529377298328237;3,3617010653524
"7";"103_IRSTEA";937003,659;6517499,821;"Sapin, épicéa";"Coniferes";"3";"11";"4";"1";9;4;5;7;25;9;2;0;2;52;69,2307692307692;30,7692307692308;"Mixte";5,64583333333333;3,81583333333333;1,83;0,924075;1,2321;3,388275;0;0,2738;11,4640833333333;53,5790766815198;46,4209233184802;"Mixte";0,113541255428346;1,56281296143196;0,137951807228916;1,48934736768424;0,826923076923077;96,1538461538462;3,84615384615385;0;0;0,175734405621389;0,964634934837699;0,175734405621389;0,964634934837699;735,649514735872;12,0228484959063;17,7858622005887;12,4295123445105;5,56441207959345;3,44508466993644;5,4810456523685;3,36171824271149;0,481769911504425;5,82988460825584;24,07;10,4864042207792;3,73370573913702;5,322;5,65;6,05;6,396;6,76;7,25;7,748;8,276;8,81;9,56;10,352;10,824;11,466;12,05;12,54;13,07;13,61;14,774;16,484;0,620857066640658;3,2276060437951;1,01162921604041;3,49805881006466
"8";"104_IRSTEA";938001,123;6517496,658;"Hêtre";"Feuillus";"0";"0";"5";"0";11;2;9;0;0;11;0;0;0;22;9,09090909090909;90,9090909090909;"Resineux";6,94805555555556;6,01361111111111;0,934444444444444;0;1,540125;0;0;0;8,48818055555556;11,0087720015904;88,9912279984096;"Resineux";0,192640692640693;0,892676767676768;0,104835589941973;1,15135396518375;0,5;77,2727272727273;22,7272727272727;0;0;0,210867248584121;0,944426552885704;0,192640692640693;0,892676767676768;311,236333157484;13,4344693032259;17,9099594177906;16,5960231862179;4,60161286208109;4,1235547410353;4,54098580982858;4,06292768878279;0,550434639986879;4,08219818332471;22,3;11,6756242223144;4,06001634890038;5,3;5,69;6,3;6,84;7,41;8,12;9,014;10,066;10,73;11,41;12,1;12,8;13,256;14,04;14,75;15,322;16,004;16,76;17,39;-0,0611298241071222;1,88099744623675;0,282540263008589;1,67793505937973
"9";"105_IRSTEA";954002,822;6517511,597;"Sapin, épicéa";"Coniferes";"5";"1";"5";"6";51;7;44;11;2;11;14;0;14;89;22,4719101123596;77,5280898876404;"Resineux";38,0619444444444;34,2541666666667;3,80777777777778;1,540125;1,540125;0,308025;0;1,9166;43,3668194444445;13,0420626880958;86,9579373119042;"Resineux";0,210248191344198;0,845753740446896;0,121673769856645;1,18040903410768;0,426966292134831;65,1685393258427;34,8314606741573;0;0;0,224363883050072;0,847879716919373;0,210248191344198;0,845753740446896;1259,09243868255;14,7539505967817;22,6055573317871;18,370669932736;25,035420629794;23,2821592516462;24,7106365457385;22,9573751675907;0,122434695663042;3,50475749696191;25,95;17,4604066471163;2,84257804676266;10,46;11,83;12,68;13,37;13,97;14,52;15,05;15,5;15,87;16,22;16,61;17;17,39;17,78;18,22;18,74;19,32;20,01;21,03;-0,400112285052774;3,58676750936107;-0,312898941992168;3,24678463244769
"10";"107_IRSTEA";960998,589;6517500,056;"Mixte";"Mixte";"4";"9";"0";"2";52;51;1;9;20;0;4;2;2;85;96,4705882352941;3,52941176470588;"Feuillus";31,2908333333333;2,83361111111111;28,4572222222222;1,2321;0;2,772225;0,2738;0,2738;35,8427583333333;91,3304353358841;8,66956466411587;"Feuillus";0,179933255514651;0,849146126894578;0,109918723535235;1,13861965051854;0,388235294117647;75,2941176470588;23,5294117647059;1,17647058823529;0;0,208953468480027;0,826817447188992;0,179933255514651;0,849146126894578;1202,5040144721;14,7452586354347;21,1575545915079;17,8466867060671;21,705037638855;20,028138357141;20,8797234296842;19,2028241479701;0,0298933579645646;2,6942566679164;31,99;23,161537405628;3,17087803874299;14,2825;15,82;16,94;17,91;18,69;19,34;19,94;20,57;21,17;21,69;22,21;22,71;23,19;23,7;24,17;24,64;25,16;25,76;26,6;-0,480735525109679;2,85749967928083;-0,368990233713065;2,96553106894432
